Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Motion_Detected
139,2022-04-19 19:48:20.763539,-14.480587702536043,108.92627113595255,35.1158,29.2945,1005.8562,False
140,2022-04-19 19:48:24.830280,-14.277593544774998,109.0828591485447,35.0625,29.5668,1005.8713,False
141,2022-04-19 19:48:28.902903,-14.074266456402688,109.23929362855313,35.0803,29.5209,1005.8542,False
142,2022-04-19 19:48:32.966999,-13.871163861490452,109.39515273796175,35.0447,29.0436,1005.8364,False
143,2022-04-19 19:48:36.994482,-13.669776465294657,109.5493054429758,35.0092,29.4291,1005.8337,False
144,2022-04-19 19:48:41.022579,-13.468288171299463,109.70315361927142,35.1158,29.2456,1005.8408,False
145,2022-04-19 19:48:45.094437,-13.264443873460937,109.85841928016023,35.1158,29.3282,1005.8359,False
146,2022-04-19 19:48:49.161160,-13.060689296336633,110.01324028816295,35.0269,29.3343,1005.8359,False
147,2022-04-19 19:48:53.234621,-12.856572214961446,110.16796659975762,35.1158,29.4536,1005.8279,False
148,2022-04-19 19:48:57.262575,-12.654574384148047,110.32072864404378,35.0981,29.2456,1005.8242,False
149,2022-04-19 19:49:01.289017,-12.452558023468653,110.47315548823855,35.1336,29.1935,1005.791,False
150,2022-04-19 19:49:05.318350,-12.250236311990083,110.62546942660043,35.0981,29.3588,1005.8318,False
151,2022-04-19 19:49:09.345994,-12.047907211984647,110.7774520175085,35.1514,29.1262,1005.8438,False
152,2022-04-19 19:49:13.372355,-11.845514638498289,110.92915183160589,35.1336,29.2731,1005.8098,True
153,2022-04-19 19:49:17.445083,-11.640750335080906,111.08229969950064,35.1692,29.2088,1005.8184,False
154,2022-04-19 19:49:21.473232,-11.43809132599641,111.23355309826874,34.9914,29.2792,1005.8311,False
155,2022-04-19 19:49:25.541551,-11.233253727080951,111.38611573666626,35.0981,29.3343,1005.8232,False
156,2022-04-19 19:49:29.615126,-11.028144750696818,111.53856805858183,35.0803,29.3221,1005.8184,False
157,2022-04-19 19:49:33.643093,-10.825191537428662,111.68911680052302,35.0803,29.1997,1005.8293,False
158,2022-04-19 19:49:37.711621,-10.620045958348394,111.84099377966035,35.1158,29.0681,1005.8157,False
159,2022-04-19 19:49:41.783935,-10.414703465193458,111.99272296412569,35.187,29.0559,1005.804,False
160,2022-04-19 19:49:45.813083,-10.21140609455111,112.14265800074197,35.0803,29.4108,1005.8127,False
161,2022-04-19 19:49:49.882629,-10.005929694735055,112.2939203673033,35.0447,29.166,1005.8247,False
162,2022-04-19 19:49:53.952475,-9.800395541325363,112.44495027079121,35.1336,29.2731,1005.8015,False
163,2022-04-19 19:49:58.022784,-9.594746536553455,112.59579567461138,35.0625,29.3771,1005.8389,False
164,2022-04-19 19:50:02.037678,-9.391693898579158,112.74447888897303,35.1514,29.2762,1005.8237,False
165,2022-04-19 19:50:06.065293,-9.188158776916914,112.89326447575905,35.0269,29.2609,1005.8354,True
166,2022-04-19 19:50:10.095093,-8.984352967640488,113.04200226161754,35.0803,29.2119,1005.8325,False
167,2022-04-19 19:50:14.127762,-8.78027151662636,113.19070090428447,35.0981,29.1079,1005.8477,False
168,2022-04-19 19:50:18.156987,-8.576296257009094,113.3390878863694,35.0269,29.3557,1005.8281,True
169,2022-04-19 19:50:22.185175,-8.372295965483655,113.4872647669313,35.0803,29.2609,1005.835,False
170,2022-04-19 19:50:26.213119,-8.168233460020462,113.63526432973163,35.0625,29.0956,1005.8262,False
171,2022-04-19 19:50:30.281684,-7.9619938344395695,113.78462277198567,35.0092,29.0528,1005.8315,False
172,2022-04-19 19:50:34.354375,-7.755570093338334,113.9338990056495,35.0625,29.1813,1005.8311,False
